Year,ISO_Code,Countries,Economic.Freedom.Summary.Index,Size.of.Government,Legal.System...Property.Rights,Sound.Money,Freedom.to.trade.internationally,Regulation
2014,AGO,Angola,5.08,4.44,3.21,6.91,5.11,5.72
2014,ALB,Albania,7.4,7.54,4.8,9.63,8.07,6.96
2014,ARE,Unit. Arab Em.,7.98,7.58,7.78,8.74,8.11,7.7
2014,ARG,Argentina,4.81,5.02,4.12,5.55,3.44,5.91
2014,ARM,Armenia,7.71,7.73,5.56,9.36,8.38,7.49
2014,AUS,Australia,7.93,6.6,8.02,9.26,7.71,8.07
2014,AUT,Austria,7.56,5.12,8.06,9.61,8.17,6.86
2014,AZE,Azerbaijan,6.55,5.19,5.95,7.45,7.07,7.08
2014,BDI,Burundi,6.05,5.99,3.54,8.04,6.18,6.51
2014,BEL,Belgium,7.51,3.94,7.81,9.73,8.34,7.71
2014,BEN,Benin,6.22,5.86,4.87,6.91,6.21,7.26
2014,BFA,Burkina Faso,6.02,5.51,3.84,6.96,6.34,7.43
2014,BGD,Bangladesh,6.35,8.83,3.03,7.02,5.88,6.98
2014,BGR,Bulgaria,7.39,7.0,5.05,9.24,8.02,7.64
2014,BHR,Bahrain,7.6,6.73,6.52,9.12,7.56,8.04
2014,BHS,Bahamas,7.38,8.11,6.67,6.89,6.66,8.58
2014,BIH,Bosnia and Herzegovina,6.85,5.39,4.98,8.53,7.74,7.61
2014,BLZ,Belize,6.34,6.11,4.15,6.86,6.63,7.97
2014,BOL,Bolivia,6.34,6.26,4.34,8.73,6.57,5.79
2014,BRA,Brazil,6.27,6.98,4.67,8.23,6.73,4.74
2014,BRB,Barbados,6.65,6.22,6.46,7.17,6.94,6.47
2014,BRN,Brunei Darussalam,7.25,5.0,6.73,8.99,7.13,8.38
2014,BTN,Bhutan,7.07,7.58,6.58,6.86,6.62,7.71
2014,BWA,Botswana,7.27,6.11,6.1,8.87,7.48,7.79
2014,CAF,Central Afr. Rep.,5.01,6.57,1.98,6.06,4.69,5.75
2014,CAN,Canada,7.98,6.32,8.05,9.6,7.83,8.11
